Country,ISO3 Code,Date,Price (EUR/MWhe)
Belgium,BEL,2018-08-01,60.74
Belgium,BEL,2018-09-01,68.72
Belgium,BEL,2018-10-01,76.05
Belgium,BEL,2018-11-01,77.73
Belgium,BEL,2018-12-01,59.66
Belgium,BEL,2019-01-01,60.48
Belgium,BEL,2019-02-01,47.57
Belgium,BEL,2019-03-01,37.61
Belgium,BEL,2019-04-01,37.92
Belgium,BEL,2019-05-01,38.0
Belgium,BEL,2019-06-01,27.49
Belgium,BEL,2019-07-01,37.76
Belgium,BEL,2019-08-01,33.69
Belgium,BEL,2019-09-01,33.58
Belgium,BEL,2019-10-01,37.62
Belgium,BEL,2019-11-01,44.41
Belgium,BEL,2019-12-01,36.36
Belgium,BEL,2020-01-01,37.85
Belgium,BEL,2020-02-01,28.36
Belgium,BEL,2020-03-01,24.02
Belgium,BEL,2020-04-01,14.68
Belgium,BEL,2020-05-01,15.41
Belgium,BEL,2020-06-01,25.59
Belgium,BEL,2020-07-01,29.87
Belgium,BEL,2020-08-01,35.55
Belgium,BEL,2020-09-01,44.23
Belgium,BEL,2020-10-01,39.38
Belgium,BEL,2020-11-01,39.93
Belgium,BEL,2020-12-01,47.4
Belgium,BEL,2021-01-01,57.44
Belgium,BEL,2021-02-01,48.57
Belgium,BEL,2021-03-01,46.63
Belgium,BEL,2021-04-01,57.04
Belgium,BEL,2021-05-01,55.61
Belgium,BEL,2021-06-01,74.49
Belgium,BEL,2021-07-01,77.37
Belgium,BEL,2021-08-01,79.55
Belgium,BEL,2021-09-01,136.15
Belgium,BEL,2021-10-01,165.37
Belgium,BEL,2021-11-01,202.17
Belgium,BEL,2021-12-01,245.43
Belgium,BEL,2022-01-01,191.56
Belgium,BEL,2022-02-01,162.64
Belgium,BEL,2022-03-01,265.51
Belgium,BEL,2022-04-01,186.72
Belgium,BEL,2022-05-01,176.67
Belgium,BEL,2022-06-01,219.29
Belgium,BEL,2022-07-01,321.55
Belgium,BEL,2022-08-01,448.12
Belgium,BEL,2022-09-01,345.73
Belgium,BEL,2022-10-01,157.51
Belgium,BEL,2022-11-01,180.7
Belgium,BEL,2022-12-01,268.88
Belgium,BEL,2023-01-01,130.87
Belgium,BEL,2023-02-01,143.51
Belgium,BEL,2023-03-01,109.48
Belgium,BEL,2023-04-01,105.62
Bulgaria,BGR,2016-10-01,64.09
Bulgaria,BGR,2016-11-01,38.02
Bulgaria,BGR,2016-12-01,43.92
Bulgaria,BGR,2017-01-01,54.41
Bulgaria,BGR,2017-02-01,43.28
Bulgaria,BGR,2017-03-01,31.85
Bulgaria,BGR,2017-04-01,34.93
Bulgaria,BGR,2017-05-01,36.26
Bulgaria,BGR,2017-06-01,34.92
Bulgaria,BGR,2017-07-01,42.16
Bulgaria,BGR,2017-08-01,38.42
Bulgaria,BGR,2017-09-01,37.79
Bulgaria,BGR,2017-10-01,41.57
Bulgaria,BGR,2017-11-01,42.13
Bulgaria,BGR,2017-12-01,38.35
Bulgaria,BGR,2018-01-01,37.3
Bulgaria,BGR,2018-02-01,36.49
Bulgaria,BGR,2018-03-01,27.51
Bulgaria,BGR,2018-04-01,28.35
Bulgaria,BGR,2018-05-01,37.31
Bulgaria,BGR,2018-06-01,36.05
Bulgaria,BGR,2018-07-01,33.23
Bulgaria,BGR,2018-08-01,40.05
